description	annotation_id	genes_found	input_size	term_genes	universe	pval	pval_adj	relative_enrichment	annotsbias	genes
Adaptive Immune System	R-HSA-1280218	197	2208	764	10987	4.536126694508967e-05	0.009028908048014761	1.283077599779953	0	DCTN2, DYNC1LI2, UBE2H, PSMD14, TRIM4, HLA-DOA, PSME1, LILRB1, LILRB4, CDC20, PTPN6, HLA-DRB1, RPS27A, DZIP3, KLHL21, TRIM37, GAN, PSMB3, ASB7, PSMC5, PSMD10, ITGAL, UBE2V2, CUL5, HERC6, LAIR1, UBE2F, ANAPC5, PPP2R5D, CDC26, CD74, HLA-DMB, KBTBD8, KIF3C, HACE1, LY96, CD86, STX4, KLHL13, ASB4, SEC24C, AP1S2, HRAS, UBC, PJA2, FBXO11, CYBB, YWHAB, KEAP1, ORAI2, ITGB1, HECTD1, KBTBD13, SLAMF7, FBXO9, CD96, SAR1B, CD300LF, CD274, BTN3A2, CAPZA2, RAB7A, DYNC1I2, ICAM3, PSMA5, UBB, PSMC6, FBXO21, KLHL25, PSMA4, FBXL4, RASGRP1, UBE2E3, ATG14, HERC4, CAPZB, CTSF, CD36, PTPN22, HLA-DRA, PSMD3, FBXO32, CD300C, ASB14, ARIH2, SEC24D, UBE2M, PSMD4, PSMB4, CD3D, FBXO2, HCST, CHUK, HLA-DPB1, UBA7, CD200, UBE2D1, KLC1, ACTR10, CTSE, THEM4, CD4, CDC27, TAPBP, UBE2B, CD22, MICA, PPP2R5A, PSMC1, TRAT1, CD3E, AP2S1, CD8B, MKRN1, FBXW4, CLEC4G, KLHL41, AP1S3, FBXO40, YES1, CRTAM, ASB11, UBE2E1, UBE2W, NPEPPS, TRIM63, TYROBP, BCL10, CD226, KLHL9, YWHAZ, PPP2R1B, SMURF2, KIF18A, NFATC3, BLNK, HECW2, LILRA1, RIPK2, CD8A, KBTBD6, HLA-DRB3, MYD88, PDPK1, PSMA6, SEC22B, PSMC3, KIF22, UBE2Q2, FBXL3, SLAMF6, PSMA7, CD79A, CDC42, ACTR1B, UBE2D3, PILRA, FBXL19, UBE3A, NCK1, HLA-DPA1, UBE4A, HLA-DQA2, KLRB1, AREL1, ASB15, ASB16, THOP1, CTSC, CD3G, ASB5, TRIP12, IFI30, TRIM71, FBXO17, BTN3A1, KIF5B, FGA, CD99, ZNRF2, TRIM41, HLA-DQB2, UBE2J1, SH3KBP1, PTPRC, LCP2, FGB, FKBP1A, PSMD6, NFATC2, FYB1, CD33, MLST8, PDCD1LG2, ASB18, KLRC4-KLRK1, RNF126
Mitochondrial translation termination	R-HSA-5419276	33	2208	87	10987	8.859793681384691e-05	0.009028908048014761	1.8874469015492255	0	MRPL47, MRPS31, MRPS28, MRPL17, MRPL38, MRPS11, MRPL40, MRPL22, GFM2, MRPL42, MRPL33, MRPL9, PTCD3, MRPL1, MRPL10, MRPL14, MRPL3, MRPL20, MRPL13, MRPL12, MRPL24, MRPS18B, MRPS10, MTRF1L, DAP3, MRPL35, MRPS35, MRPL36, MRPL19, MRPS26, MRPL2, AURKAIP1, GADD45GIP1
Disease	R-HSA-1643685	424	2208	1820	10987	0.00013215689625809763	0.010533444125215423	1.1592431119605033	0	MED4, DYNC1LI2, HES5, PSMD14, TRIM4, CDK7, CCND1, MED12, SUGT1, RPL14, TAF7, GBE1, P2RX7, CCNK, PSME1, RCC1, PTPN6, HPRT1, RPS27A, VPS37D, RLBP1, SLC6A19, MMADHC, POMT1, HLCS, NBN, CASP8, POLR2G, VPS39, PSMB3, RPL22, HMGA1, RPL18A, MAVS, RPS3, PSMC5, HYAL1, SUDS3, DUSP7, FCGR2A, HSP90AB1, MED9, FAU, PSMD10, ATP6V1H, POLR2J, XPO1, FGF7, CUL5, DVL2, H3C11, VWF, TBL1XR1, ANAPC5, H2BC15, PPP2R5D, CDC26, MED15, ABCB6, MED24, PDGFRB, H2BC7, EDEM2, GTF2H1, SDC4, FGF3, GPC4, BRCA1, GTF2A1, NLRP3, DPM2, IGF1R, CDC37, CNBP, PPP1CB, NOTCH3, LY96, ALDOB, CD86, TAF13, KPNA1, SEC24C, RHOG, NT5E, FGF22, AP1S2, H2BC9, RHNO1, RPS9, DUSP10, HRAS, RBBP8, UBC, MAML3, PRELP, POLR2B, UBAP1, IL10RA, POLR2K, YWHAB, KEAP1, ADCY6, GEMIN4, ITGB1, ANAPC15, NEIL1, ST6GAL1, PGK1, CRBN, CYSLTR1, SSRP1, AHCY, ADCY2, UNC93B1, FKBP4, YWHAQ, MED14, NUP37, PSENEN, GNAI2, SLC22A5, CRK, RPS4Y1, EGF, PACS1, HSP90AA1, MED1, RBP4, LRRFIP1, H2BC18, ST6GALNAC2, RPL8, SQSTM1, IL1R1, SAR1B, NOD1, CCND3, CEBPB, STAT1, RAB7A, RPL36, DYNC1I2, RAE1, FIP1L1, RPS16, RPL5, GAA, ANO7, RPL28, SUPT5H, STAT3, PSMA5, BIN2, UBB, RPL3L, PSMC6, H2BC14, PSMA4, RPL17, KDM1A, CHURC1-FNTB, ZC3HC1, RAD9A, RFC4, ATG14, AMER1, DUSP9, BANF1, CD36, SMN2, TP53, PSMD3, STX1B, SLC36A2, GNE, NCSTN, PTK2, PGM1, ACY1, GYG1, SDC3, ARPC2, SEC24D, PSMD4, MAPK14, CX3CR1, CARS1, RAD51C, PSMB4, GNG10, HSPA1A, IDS, SLC35A1, MED23, SLC24A1, AGO1, CHUK, RPL13, WDR48, GALT, PKLR, ARPC1A, NPM1, SIKE1, UBE2D1, CSNK1A1, HDAC5, KLC1, ACE2, TGFB1, ATP1A2, RPL27A, WIPF1, SUMO1, CD4, TXNRD1, RPS3A, CDC27, SNRPD2, G3BP1, VAV2, VAMP1, TMPRSS2, RPL29, GNG7, RAD51B, GNAS, CSF2RA, TLR7, DCXR, H4C5, ARPC1B, PPP2R5A, MAP2K2, TSG101, ABI1, EXT1, PSMC1, IKBKE, H2AZ2, TRAT1, RB1, AP2S1, CD8B, ADAMTSL4, FNTA, PRKAR2A, AP1S3, RAD1, YES1, MAP3K11, IMPDH2, POM121, PPIB, UBE2E1, KREMEN2, SNW1, RPS28, NUS1, NOTCH2, NUP43, FRS3, KANK1, BRCA2, RPL9, ANO2, BCL11A, MYO5A, BCL2L11, CYP11B2, TWIST1, RPIA, YWHAZ, AMN, PPP2R1B, RAC2, RAN, GEMIN6, VPS25, ENTPD1, BLNK, MUC5B, PPM1B, NTF4, ETV6, TAB3, ACTB, RPL36A, ALG13, NOX4, NOXO1, SLC35D1, BCL2A1, RIPK2, NCKAP1L, FGF19, ZDHHC3, NUP62, SV2A, IPO5, TAF5, MYD88, SLC25A6, TXNIP, ALG11, MEFV, GTF2B, TOMM70, PTGES3, B4GAT1, QKI, PDPK1, RPL7A, KAT2B, SYVN1, OAS2, ADAMTS7, MED29, PSMA6, VPS37B, RPL11, CDKN1C, PSMC3, SOD2, BRD4, VPS4A, EPM2A, MUC16, PSMA7, CD79A, CDC42, H4C15, ERCC3, CORO1A, DLL4, SND1, HNRNPA1, TPM3, RPA1, NCK1, EML4, FXYD1, PPIH, TFDP1, SNF8, MAOA, NUP214, CYP19A1, ALG3, GTF2A2, MYH2, ZDHHC11, IFIH1, SPCS1, SLC16A1, PCBP2, NUP133, FGF4, SIGMAR1, CD3G, POLR2C, DVL1, MPRIP, SLC7A7, ADAMTS17, RPS4Y2, FAM114A2, TRIM28, CYSLTR2, DKK4, PORCN, H2AJ, FOXO4, WASF2, KIF5B, MARK3, CDK8, ANAPC16, FGA, CBLL1, C3AR1, RPS8, MED17, THSD1, FOXO3, TUFM, BGN, GPC2, ACACA, GEMIN2, CYP26C1, MGAT1, RIPK3, MBL2, MCCC1, GRSF1, APOBEC3G, CCNH, RPL21, SH3KBP1, NUP155, VPS41, FGB, RPLP0, MGAT4A, H4C2, FKBP1A, PSMD6, RPL10L, KPNA4, SFPQ, ST6GALNAC4, MLST8, CDKN1B, PPP1R3C, IRS2, NEURL1, TNKS2, RNF185, TAF2, HGSNAT, ERLIN1, TLR3, CBL
Host Interactions of HIV factors	R-HSA-162909	44	2208	129	10987	0.00012782261921809725	0.010533444125215423	1.6972390742613188	0	PSMD14, PSME1, RCC1, RPS27A, PSMB3, HMGA1, PSMC5, PSMD10, ATP6V1H, XPO1, CUL5, KPNA1, AP1S2, UBC, NUP37, PACS1, RAE1, PSMA5, UBB, PSMC6, PSMA4, BANF1, PSMD3, PSMD4, PSMB4, NPM1, CD4, PSMC1, AP2S1, CD8B, AP1S3, POM121, NUP43, RAN, NUP62, SLC25A6, PSMA6, PSMC3, PSMA7, NUP214, NUP133, APOBEC3G, NUP155, PSMD6
Cellular response to starvation	R-HSA-9711097	51	2208	156	10987	0.0001334598739468871	0.010533444125215423	1.626768046265329	0	TCIRG1, KPTN, RPL14, RPS27A, ATP6V0C, ATP6V1B1, RPL22, RPL18A, RPS3, ATP6V0E1, FAU, ATP6V1H, ATP6V1F, SESN2, RPS9, EIF2S1, RPS4Y1, RPL8, CEBPB, RPL36, RPS16, RPL5, RPL28, RPL3L, ATP6V1C1, RPL17, DEPDC5, RRAGA, CASTOR2, RPL13, ATP6V0E2, SLC38A9, RPL27A, RPS3A, CEBPG, RPL29, ATF4, FNIP1, RPS28, RPL9, RPL36A, LAMTOR5, RPL7A, RPL11, RPS4Y2, RPS8, LAMTOR2, RPL21, RPLP0, RPL10L, MLST8
TCR signaling	R-HSA-202403	41	2208	119	10987	0.00016692931045081866	0.012704512877524806	1.7144189197418098	0	PSMD14, PSME1, HLA-DRB1, RPS27A, PSMB3, PSMC5, PSMD10, UBC, PSMA5, UBB, PSMC6, PSMA4, PTPN22, HLA-DRA, PSMD3, PSMD4, PSMB4, CD3D, CHUK, HLA-DPB1, UBE2D1, CD4, PSMC1, TRAT1, CD3E, BCL10, RIPK2, HLA-DRB3, PDPK1, PSMA6, PSMC3, PSMA7, NCK1, HLA-DPA1, HLA-DQA2, CD3G, HLA-DQB2, PTPRC, LCP2, PSMD6, FYB1
APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1	R-HSA-174178	28	2208	72	10987	0.00018071343590776758	0.013279321790325956	1.935109702093398	0	PSMD14, PSME1, CDC20, RPS27A, PSMB3, PSMC5, PSMD10, ANAPC5, CDC26, UBC, ANAPC15, PSMA5, UBB, PSMC6, PSMA4, PSMD3, PSMD4, PSMB4, UBE2D1, CDC27, PSMC1, RB1, UBE2E1, PSMA6, PSMC3, PSMA7, ANAPC16, PSMD6
Influenza Viral RNA Transcription and Replication	R-HSA-168273	45	2208	135	10987	0.00019695425178964978	0.013990317018791455	1.6586654589371983	0	RPL14, RPS27A, POLR2G, RPL22, RPL18A, RPS3, FAU, POLR2J, RPS9, POLR2B, POLR2K, NUP37, RPS4Y1, HSP90AA1, RPL8, RPL36, RAE1, RPS16, RPL5, RPL28, RPL3L, RPL17, RPL13, RPL27A, RPS3A, RPL29, POM121, RPS28, NUP43, RPL9, RPL36A, NUP62, IPO5, RPL7A, RPL11, NUP214, NUP133, POLR2C, RPS4Y2, RPS8, GRSF1, RPL21, NUP155, RPLP0, RPL10L
Cellular responses to stress	R-HSA-2262752	199	2208	794	10987	0.000235033118058257	0.015492714914079482	1.2471325931807395	0	DCTN2, TCIRG1, DYNC1LI2, PSMD14, KPTN, RPL14, PSME1, SIRT1, RPS27A, NFYB, EGLN1, ATP6V0C, DNAJA2, NBN, COX6A2, ATP6V1B1, PSMB3, RPL22, HMGA1, RPL18A, NDUFA4, RPS3, DNAJC7, PSMC5, HSP90AB1, ATP6V0E1, FAU, PSMD10, ATP6V1H, XPO1, DNAJA4, H3C11, MAP3K5, TBL1XR1, APOB, CCL2, ANAPC5, H2BC15, CDC26, ATP6V1F, H2BC7, BRCA1, NLRP3, HIKESHI, RPS6KA1, LY96, COX7A1, PDIA6, H2BC9, SESN2, SERP1, RPS9, EIF2S1, FOS, UBC, ST13, CYBB, KEAP1, EXOSC6, ANAPC15, EPO, RAI1, FKBP4, NUP37, RPS4Y1, EGF, HSP90AA1, MED1, BMAL1, RPL8, SQSTM1, CEBPB, CAPZA2, MAFG, STIP1, RPL36, DYNC1I2, RAE1, RPS16, RPL5, RPL28, CTDSP2, STAT3, COX6A1, PSMA5, UBB, RPL3L, PSMC6, H2BC14, ATP6V1C1, PSMA4, RPL17, DEPDC5, RRAGA, AMER1, CAPZB, TSPYL2, TP53, PSMD3, CDKN2B, PSMD4, MAPK14, ASF1A, CASTOR2, TXN2, PSMB4, HSPA1A, ADD1, AGO1, PHB2, RPL13, COX8A, ATP6V0E2, EXTL3, SLC38A9, HSPA12A, UBE2D1, ACTR10, RPL27A, TXNRD1, RPS3A, CDC27, CEBPG, SRXN1, WTIP, RPL29, H4C5, ATF4, ACADVL, MUL1, HIF1AN, CRTC1, PSMC1, H2AZ2, RB1, FNIP1, DNAJA1, POM121, POT1, UBE2E1, RPS28, ATF6B, NUP43, RPL9, HSPH1, GPX7, KDELR3, ATP7A, RPL36A, BAG5, NOX4, LAMTOR5, BAG2, NUP62, TXNIP, OMA1, PTGES3, RPL7A, SYVN1, PSMA6, RPL11, DNAJC2, PSMC3, SOD2, GPX1, BAG3, PSMA7, H4C15, UBE2D3, RPA1, BAG1, ARFGAP1, TFDP1, SOD1, NUP214, RPS19BP1, PRKAA2, NUP133, EIF2AK1, RPS4Y2, H3-4, HSPA6, H2AJ, ANAPC16, RPS8, HIGD1A, SLC7A11, LAMTOR2, COX4I1, RPL21, NUP155, EHMT1, RPLP0, H4C2, PSMD6, RPL10L, MLST8, CDKN1B, ATF5
Glycogen metabolism	R-HSA-8982491	14	2208	27	10987	0.00023636056575718965	0.015492714914079482	2.5801462694578636	0	GBE1, RPS27A, UGP2, PYGL, UBC, GAA, UBB, PGM1, GYG1, PHKA1, PYGM, PHKG1, EPM2A, PPP1R3C
Mitochondrial protein degradation	R-HSA-9837999	33	2208	91	10987	0.0002399153412316391	0.015492714914079482	1.8044822025800287	0	CLPX, NDUFS3, NDUFS1, BDH1, DLD, HSPD1, IARS2, NDUFB6, NDUFA13, ACAT1, STARD7, ATP5F1A, MRPL12, AFG3L2, HADH, ACOT2, OXCT1, GLUD1, ATP5F1B, MRPS10, IDH3A, SLC25A6, OMA1, ATP5PD, ALDH18A1, PDHA1, HMGCS2, ALAS1, ATP5MG, ATP5PO, OGDH, COX4I1, UQCRC2
Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA	R-HSA-77310	5	2208	5	10987	0.000326607990820897	0.01972380183966213	4.975996376811595	0	HADHB, HADHA, ECHS1, HADH, ACADL
Deubiquitination	R-HSA-5688426	79	2208	275	10987	0.00033320359747904114	0.01972380183966213	1.4294680500658763	0	PSMD14, TRIM4, PSME1, CDC20, RPS27A, PSMB3, ABRAXAS2, MAVS, PSMC5, SUDS3, PSMD10, H2BC15, H2BC7, USP33, BRCA1, VCPIP1, MYSM1, NLRP3, ZRANB1, USP16, H2BC9, UBC, KEAP1, USP44, OTUD3, H2BC18, NOD1, MAT2B, PSMA5, UBB, PSMC6, H2BC14, PSMA4, INO80B, ACTL6A, TP53, TNFAIP3, PSMD3, INO80D, PSMD4, PSMB4, GATA3, WDR48, UCHL3, UBE2D1, TGFB1, BAP1, MUL1, PSMC1, USP47, ATXN3, HCFC1, SMURF2, SNX3, ACTB, RIPK2, TOMM70, MBD5, KAT2B, CCP110, PSMA6, PSMC3, PSMA7, MBD6, FKBP8, IFIH1, USP13, FOXO4, USP30, USP12, OTUD7B, PSMD6, TNIP1, UIMC1, OTUD7A, TNIP2, TNKS2, ATXN7, OTUB1
Beta oxidation of hexanoyl-CoA to butanoyl-CoA	R-HSA-77350	5	2208	5	10987	0.000326607990820897	0.01972380183966213	4.975996376811595	0	HADHB, HADHA, ACADS, ECHS1, HADH
HIV Infection	R-HSA-162906	68	2208	230	10987	0.0003504222891792937	0.01974121003874343	1.4711641461877758	0	PSMD14, CDK7, TAF7, CCNK, PSME1, RCC1, RPS27A, VPS37D, POLR2G, PSMB3, HMGA1, PSMC5, PSMD10, ATP6V1H, POLR2J, XPO1, CUL5, GTF2H1, GTF2A1, TAF13, KPNA1, AP1S2, UBC, POLR2B, UBAP1, POLR2K, SSRP1, NUP37, PACS1, RAE1, SUPT5H, PSMA5, UBB, PSMC6, PSMA4, BANF1, PSMD3, PSMD4, PSMB4, NPM1, CD4, TSG101, PSMC1, AP2S1, CD8B, AP1S3, POM121, NUP43, RAN, NUP62, TAF5, SLC25A6, GTF2B, PSMA6, VPS37B, PSMC3, VPS4A, PSMA7, ERCC3, NUP214, GTF2A2, NUP133, POLR2C, APOBEC3G, CCNH, NUP155, PSMD6, TAF2
Immune System	R-HSA-168256	468	2208	2048	10987	0.0003612891560351918	0.01974121003874343	1.137092922044837	0	DCTN2, TCIRG1, DYNC1LI2, UBE2H, PSMD14, TRIM4, CCND1, SUGT1, IL1F10, P2RX7, HLA-DOA, PSME1, LILRB1, LILRB4, CDC20, PTPN6, PELI3, CCL4, HLA-DRB1, RPS27A, APAF1, DZIP3, PTPN20, IL1RL2, KLHL21, SERPINA1, TRIM37, TXNDC5, ATP6V0C, GAN, CD59, SOCS5, CASP8, ATP6V1B1, PSMB3, ASB7, MX2, CALML5, IL1RL1, MAVS, PSMC5, SOCS6, DUSP7, FCGR2A, HSP90AB1, ATP6V0E1, PYGL, PSMD10, ITGAL, UBE2V2, ATP6V1H, CRKL, DERA, CUL5, RAB10, KCMF1, HERC6, H3C11, DDX3X, DIAPH1, LAIR1, APOB, EIF4A2, CCL2, UBE2F, IL2RA, ANAPC5, PPP2R5D, CDC26, ATP6V1F, TRIM14, RAB31, CD74, HLA-DMB, LYZ, PLD2, NLRP3, KBTBD8, KIF3C, RPS6KA1, HACE1, LY96, CD86, STX4, FPR2, SLPI, KLHL13, ASB4, SNAP29, KPNA1, SEC24C, RHOG, AP1S2, IGF2R, HRAS, SH2B3, EIF2S1, FOS, UBC, POU2F1, PJA2, MMP9, FBXO11, CYBB, IL10RA, CSF1R, POLR2K, YWHAB, KEAP1, ORAI2, ITGB1, PROS1, GBP5, TNFSF8, IL2RB, ADA2, HECTD1, PTAFR, KBTBD13, UNC93B1, SERPINB6, NUP37, CRK, PDXK, SLAMF7, DGAT1, FBXO9, HSP90AA1, LRRFIP1, CD96, SQSTM1, IL1R1, SAR1B, CD300LF, CD274, BTN3A2, CD58, NOD1, CCL5, VAMP7, FUCA1, CAPZA2, CAB39, IRF9, STAT1, RAB7A, PAFAH1B2, DYNC1I2, RAE1, VIM, ICAM3, GAA, SDCBP, NIT2, STAT3, PSMA5, BIN2, EGR1, UBB, TRAPPC1, PSMC6, FBXO21, TMEM179B, KLHL25, ATP6V1C1, PSMA4, FBXL4, PANX1, RASGRP1, UBE2E3, ATG14, HERC4, TNFRSF13B, CAPZB, CTSF, CD36, FCER1G, MAN2B1, PTPN22, PLAC8, ENPP4, TP53, TNFAIP3, HLA-DRA, PSMD3, FBXO32, CD300C, NCSTN, PTK2, CD68, ASB14, PGM1, ARIH2, GYG1, ARPC2, SEC24D, DEFB110, UBE2M, PSMD4, PLA2G2A, MAPK14, CPPED1, PSMB4, HSPA1A, IL2RG, CD3D, ANXA1, FBXO2, HCST, BRWD1, CHUK, HLA-DPB1, GATA3, VAT1, UBA7, ATP6V0E2, PADI2, ARPC1A, CD200, NPM1, MIF, SIKE1, UBE2D1, GBP3, KLC1, ACTR10, CTSE, PLPP5, TGFB1, THEM4, WIPF1, SUMO1, RBSN, CD4, TNFRSF25, MAPT, CDC27, TAPBP, VAV2, CFL1, ALDOA, UBE2B, ABCA13, RETN, OAS1, CD22, CPNE3, MICA, CSF2RA, TLR7, TNFSF13B, POLR3H, ARPC1B, PPP2R5A, ABI1, ANPEP, PSMC1, ATG5, IST1, IKBKE, TRAT1, CD3E, AP2S1, CD8B, MKRN1, C1QB, FBXW4, CLEC4G, KLHL41, AP1S3, MID1, LGALS9, FBXO40, YES1, POLR3D, IMPDH2, GBP1, CRTAM, ASB11, POM121, OAS3, SLA, UBE2E1, PGM2, UBE2W, NPEPPS, NME2, TRIM63, NUP43, MAPK12, TYROBP, BCL10, MYO5A, CD226, BCL2L11, TWIST1, PTK2B, KLHL9, AZU1, YWHAZ, PPP2R1B, RAC2, C1QC, PRTN3, GBP2, SMURF2, KIF18A, NFATC3, CD63, BLNK, CASP2, HECW2, MUC5B, ATP7A, PPM1B, NKIRAS1, LBP, BCL6, OLR1, TAB3, LILRA1, ITGAX, ACTB, RIPK2, LTA, CXCL10, NCKAP1L, CD8A, KBTBD6, ART1, HLA-DRB3, NUP62, CEACAM1, MYD88, CCL3, TXNIP, MEFV, AAMP, TOMM70, PDPK1, STAT4, ADGRE5, SVIP, C1orf35, RHOF, CRLF1, OAS2, DUS2, PSMA6, ALAD, SEC22B, PSMC3, KIF22, SOD2, UBE2Q2, EIF4G1, CD180, FBXL3, IL10RB, MUC16, GM2A, SLAMF6, PSMA7, CD79A, CDC42, ACTR1B, AGA, CHGA, UBE2D3, PILRA, FBXL19, RAB18, GLIPR1, TNFSF15, UBE3A, NCK1, IRAG2, HLA-DPA1, TANK, TMEM63A, SOD1, MAOA, UBE4A, NUP214, MYH2, HLA-DQA2, KLRB1, CCT2, ECSIT, EIF4E2, AREL1, ASB15, PRKRA, ASB16, IFIH1, OPRD1, PCBP2, THOP1, PPIE, CD27, CTSC, NUP133, POLR1C, TCP1, LRG1, FTH1, CD3G, OASL, AGER, GSN, ASB5, TRIP12, IFI30, TRIM71, HSPA6, FBXO17, BTN3A1, OPTN, WASF2, KIF5B, FGA, C3AR1, FOXO3, XAF1, CD99, RSAD2, ZNRF2, TRIM17, DSN1, TRIM41, RIPK3, MBL2, HLA-DQB2, UBE2J1, LAMTOR2, ARSA, VPS35L, SH3KBP1, PTPRC, NUP155, GBP4, LCP2, FGB, RPLP0, FKBP1A, PSMD6, ELANE, KPNA4, MMP3, NFATC2, FYB1, CD33, MLST8, PDCD1LG2, CDKN1B, ASB18, NPC2, KLRC4-KLRK1, SOS2, IRS2, TNIP2, CRP, HGSNAT, IFI27, TLR3, CBL, RNF126, GH1
Cdc20:Phospho-APC/C mediated degradation of Cyclin A	R-HSA-174184	27	2208	71	10987	0.0003588140403788154	0.01974121003874343	1.8922803123086345	0	PSMD14, PSME1, CDC20, RPS27A, PSMB3, PSMC5, PSMD10, ANAPC5, CDC26, UBC, ANAPC15, PSMA5, UBB, PSMC6, PSMA4, PSMD3, PSMD4, PSMB4, UBE2D1, CDC27, PSMC1, UBE2E1, PSMA6, PSMC3, PSMA7, ANAPC16, PSMD6
Glycogen synthesis	R-HSA-3322077	9	2208	14	10987	0.00039293466728168846	0.020933594399431953	3.198854813664596	0	GBE1, RPS27A, UGP2, UBC, UBB, PGM1, GYG1, EPM2A, PPP1R3C
Regulation of RUNX3 expression and activity	R-HSA-8941858	22	2208	54	10987	0.0004049818655272755	0.02104917940094205	2.027257783145464	0	PSMD14, PSME1, RPS27A, PSMB3, PSMC5, PSMD10, UBC, PSMA5, UBB, PSMC6, PSMA4, PSMD3, PSMD4, PSMB4, TGFB1, PSMC1, SMURF2, PSMA6, RUNX3, PSMC3, PSMA7, PSMD6
Class I MHC mediated antigen processing & presentation	R-HSA-983169	103	2208	379	10987	0.00044408461220492995	0.02253200734782633	1.3523156380253145	0	UBE2H, PSMD14, TRIM4, PSME1, CDC20, RPS27A, DZIP3, KLHL21, TRIM37, GAN, PSMB3, ASB7, PSMC5, PSMD10, UBE2V2, CUL5, HERC6, UBE2F, ANAPC5, CDC26, KBTBD8, HACE1, LY96, STX4, KLHL13, ASB4, SEC24C, UBC, PJA2, FBXO11, CYBB, KEAP1, HECTD1, KBTBD13, FBXO9, SAR1B, PSMA5, UBB, PSMC6, FBXO21, KLHL25, PSMA4, FBXL4, UBE2E3, ATG14, HERC4, CD36, PSMD3, FBXO32, ASB14, ARIH2, SEC24D, UBE2M, PSMD4, PSMB4, FBXO2, CHUK, UBA7, UBE2D1, CDC27, TAPBP, UBE2B, PSMC1, MKRN1, FBXW4, KLHL41, FBXO40, ASB11, UBE2E1, UBE2W, NPEPPS, TRIM63, KLHL9, SMURF2, HECW2, KBTBD6, MYD88, PSMA6, SEC22B, PSMC3, UBE2Q2, FBXL3, PSMA7, UBE2D3, FBXL19, UBE3A, UBE4A, AREL1, ASB15, ASB16, THOP1, ASB5, TRIP12, TRIM71, FBXO17, FGA, ZNRF2, TRIM41, UBE2J1, FGB, PSMD6, ASB18, RNF126
APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint	R-HSA-179419	27	2208	72	10987	0.0004656744030614438	0.02255345802099856	1.865998641304348	0	PSMD14, PSME1, CDC20, RPS27A, PSMB3, PSMC5, PSMD10, ANAPC5, CDC26, UBC, ANAPC15, PSMA5, UBB, PSMC6, PSMA4, PSMD3, PSMD4, PSMB4, UBE2D1, CDC27, PSMC1, UBE2E1, PSMA6, PSMC3, PSMA7, ANAPC16, PSMD6
Cellular responses to stimuli	R-HSA-8953897	200	2208	808	10987	0.00046161713200489535	0.02255345802099856	1.2316822714880182	0	DCTN2, TCIRG1, DYNC1LI2, PSMD14, KPTN, RPL14, PSME1, SIRT1, RPS27A, NFYB, EGLN1, ATP6V0C, DNAJA2, NBN, COX6A2, ATP6V1B1, PSMB3, RPL22, HMGA1, RPL18A, NDUFA4, RPS3, DNAJC7, PSMC5, HSP90AB1, ATP6V0E1, FAU, PSMD10, ATP6V1H, XPO1, DNAJA4, H3C11, MAP3K5, TBL1XR1, APOB, CCL2, ANAPC5, H2BC15, CDC26, ATP6V1F, H2BC7, BRCA1, NLRP3, HIKESHI, RPS6KA1, LY96, COX7A1, PDIA6, H2BC9, SESN2, SERP1, RPS9, EIF2S1, FOS, UBC, ST13, CYBB, KEAP1, EXOSC6, ANAPC15, EPO, RAI1, FKBP4, NUP37, RPS4Y1, EGF, HSP90AA1, MED1, BMAL1, RPL8, SQSTM1, CEBPB, CAPZA2, MAFG, STIP1, RPL36, DYNC1I2, RAE1, RPS16, RPL5, RPL28, CTDSP2, STAT3, COX6A1, PSMA5, UBB, RPL3L, PSMC6, H2BC14, ATP6V1C1, PSMA4, RPL17, DEPDC5, RRAGA, AMER1, CAPZB, TSPYL2, TP53, PSMD3, CDKN2B, PSMD4, MAPK14, ASF1A, CASTOR2, TXN2, PSMB4, HSPA1A, ADD1, AGO1, PHB2, RPL13, COX8A, ATP6V0E2, EXTL3, SLC38A9, HSPA12A, UBE2D1, SNCB, ACTR10, RPL27A, TXNRD1, RPS3A, CDC27, CEBPG, SRXN1, WTIP, RPL29, H4C5, ATF4, ACADVL, MUL1, HIF1AN, CRTC1, PSMC1, H2AZ2, RB1, FNIP1, DNAJA1, POM121, POT1, UBE2E1, RPS28, ATF6B, NUP43, RPL9, HSPH1, GPX7, KDELR3, ATP7A, RPL36A, BAG5, NOX4, LAMTOR5, BAG2, NUP62, TXNIP, OMA1, PTGES3, RPL7A, SYVN1, PSMA6, RPL11, DNAJC2, PSMC3, SOD2, GPX1, BAG3, PSMA7, H4C15, UBE2D3, RPA1, BAG1, ARFGAP1, TFDP1, SOD1, NUP214, RPS19BP1, PRKAA2, NUP133, EIF2AK1, RPS4Y2, H3-4, HSPA6, H2AJ, ANAPC16, RPS8, HIGD1A, SLC7A11, LAMTOR2, COX4I1, RPL21, NUP155, EHMT1, RPLP0, H4C2, PSMD6, RPL10L, MLST8, CDKN1B, ATF5
